status,challenge,victim,attacker,flag,ts
duplicated,zblog,10.0.84.3:80,wangyihang,9cda04623cc2eadd97cd9bc3c6529574,1537065703.73
duplicated,zblog,10.0.82.3:80,wangyihang,2eadf5a62c362929dee1b41d60d799f0,1537065703.8
duplicated,zblog,10.0.87.3:80,wangyihang,516dee323b71c7c0a6dc713135b024a9,1537065703.89
duplicated,zblog,10.0.88.3:80,wangyihang,a72123f42177674c151800f87ef430c4,1537065703.89
duplicated,zblog,10.0.86.3:80,wangyihang,df0e54f46883de5d5f16e9f47e4391d4,1537065703.96
duplicated,zblog,10.0.90.3:80,wangyihang,478aee88f9b6c993357a8e1e90956a7b,1537065703.97
duplicated,zblog,10.0.91.3:80,wangyihang,60db1a358cd92b400f87b38ead0eded9,1537065704.01
duplicated,zblog,10.0.92.3:80,wangyihang,78f1ac39776f4ab53bdc301a1d35be14,1537065704.08
duplicated,zblog,10.0.85.3:80,wangyihang,30cbf5b8f5005089e98ece063a49ade5,1537065704.17
correct,zblog,10.0.64.3:80,wangyihang,6a5e341208d0a3eed0338fd5c5d0d5a1,1537066223.31
correct,zblog,10.0.68.3:80,wangyihang,b93808f2667336e2e3da2f3f8f7de83e,1537066223.33
correct,zblog,10.0.71.3:80,wangyihang,c5e2e074a7721e02ade863cd65b6b264,1537066223.4
correct,zblog,10.0.73.3:80,wangyihang,404b53c8c5a051b031d383632239e9a7,1537066223.44
correct,zblog,10.0.74.3:80,wangyihang,83583ba59227ffd2728d58db0687f609,1537066223.45
correct,zblog,10.0.75.3:80,wangyihang,8c2b49d8446af1931290ae10d2295322,1537066223.47
correct,zblog,10.0.78.3:80,wangyihang,a16d8027a1b1d721374af193cf2dc469,1537066223.52
correct,zblog,10.0.82.3:80,wangyihang,3e9d2f069271f02c5c12f33952acd2e1,1537066223.56
correct,zblog,10.0.85.3:80,wangyihang,5640f1c3a4d14e1f89341994f3afe2a2,1537066223.61
correct,zblog,10.0.86.3:80,wangyihang,13a7a6084e13ac8686985b3d894aa812,1537066223.63
correct,zblog,10.0.87.3:80,wangyihang,56ce9d6f19d263762b092cb07fe58243,1537066223.64
correct,zblog,10.0.88.3:80,wangyihang,8960aed62d0f98e68f7979402be5bb91,1537066223.66
correct,zblog,10.0.91.3:80,wangyihang,90ebd95e48f5c2f8cff7c28cff40fb28,1537066223.71
duplicated,zblog,10.0.67.3:80,wangyihang,7344065f4d52e3fb871573fe38f5db45,1537066235.74
duplicated,zblog,10.0.64.3:80,wangyihang,6a5e341208d0a3eed0338fd5c5d0d5a1,1537066235.75
duplicated,zblog,10.0.69.3:80,wangyihang,647bcc2b6c04e8dd0902fb7071b3cd5e,1537066235.88
